msg_type,processing_time_ns,buff_read_ns
l2update,16410,3305
match,23668,3071
l2update,16103,2492
match,24028,2876
l2update,16948,6614
match,23846,2897
l2update,16355,2447
match,24250,2950
l2update,15987,2430
match,24478,2762
l2update,16303,2462
match,23772,2802
l2update,16982,5961
match,23798,2908
l2update,15496,2457
match,24037,2772
l2update,15655,2521
match,23251,2799
l2update,16033,2453
match,24192,6351
l2update,15754,2589
match,23215,2882
l2update,15526,2479
match,23802,2904
l2update,15986,2531
match,23974,2821
l2update,16109,2498
match,24526,6060
l2update,15828,2613
match,23093,2756
l2update,16075,2467
match,23045,2850
l2update,16125,2502
match,23869,2892
l2update,15837,2453
match,24831,6584
l2update,16040,2544
match,23745,2916
l2update,15234,2437
match,23915,2889
l2update,16019,2469
match,23223,2836
l2update,16846,5990
match,24172,2916
l2update,15472,2488
match,24105,2799
l2update,15495,2368
match,23845,2894
l2update,15544,2398
match,24036,2936
l2update,16562,5709
match,24349,2995
l2update,15471,2418
match,24829,2875
l2update,15906,2390
match,23289,2818
l2update,15545,2363
match,23954,6110
l2update,15546,2562
match,23878,2831
l2update,15545,2417
match,23666,2838
l2update,15748,2399
match,23095,2854
l2update,15353,2364
match,24265,6169
l2update,16305,2593
match,23724,2774
l2update,15484,2429
match,22900,2789
l2update,15949,2381
match,23363,2735
l2update,15509,2365
match,24511,5984
l2update,15595,2510
match,23767,2894
l2update,16335,2472
match,23775,2765
l2update,15613,2427
match,24180,2873
l2update,16196,2418
match,24179,6076
l2update,15352,2471
match,24409,2888
l2update,15432,2365
match,23576,2999
l2update,15356,2432
match,23980,2833
l2update,15864,5726
match,23876,2968
l2update,15737,2458
match,22885,2765
l2update,15396,2418
match,23921,2807
l2update,16383,2369
match,24308,6131
l2update,15616,2465
match,24131,2851
l2update,15225,2364
match,24039,2824
l2update,15801,2428
match,23155,2816
l2update,16103,2450
match,24299,6054
l2update,15595,2542
match,23833,2961
l2update,15428,2420
match,23708,2867
l2update,15371,2440
match,23563,2872
l2update,15750,2415
match,24115,5979
l2update,16069,2615
match,23854,2870
l2update,15891,2362
match,23560,2840
l2update,15506,2321
match,22915,2763
l2update,15996,2376
match,39355,7304
l2update,27858,5056
match,37890,5795
l2update,27145,4746
match,32274,6003
l2update,26682,4588
match,38917,5939
l2update,25987,11729
match,24871,3905
l2update,15937,2592
match,23918,3057
l2update,15595,2422
match,24124,2913
l2update,16373,2415
match,23303,2852
l2update,20314,28591
match,24064,3724
l2update,15808,2602
match,24059,2963
l2update,15800,2409
match,23869,2871
l2update,15374,2407
match,24997,6906
l2update,16384,2531
match,24036,2945
l2update,15832,2468
match,24012,2940
l2update,16139,2382
match,23542,2916
l2update,15324,2427
match,24736,6312
l2update,15705,2510
match,24102,2941
l2update,15760,2392
match,24108,2948
l2update,15970,2471
match,23546,2867
l2update,16034,2466
match,44078,6215
l2update,17204,3344
match,23727,2910
l2update,22725,2432
match,17763,2452
l2update,10764,1622
match,16280,1945
l2update,11496,4598
match,16274,1990
l2update,10628,1628
match,16199,1958
l2update,10679,1615
match,16213,1934
l2update,10877,1621
match,15956,1840
l2update,11264,4019
match,16386,2015
l2update,10597,1592
match,16166,1942
l2update,10378,1569
match,15557,1883
l2update,10335,1680
match,16533,4304
l2update,10978,1673
match,15850,1942
l2update,10870,1639
match,15798,1936
l2update,10520,1646
match,16129,1981
l2update,10532,1677
match,16521,4248
l2update,10501,1708
match,16176,1899
l2update,10525,1620
match,16043,1906
l2update,10349,1591
match,16158,1923
l2update,10337,1662
match,16545,4147
l2update,10989,1717
match,15877,1944
l2update,10986,1610
match,16546,1867
l2update,10501,1602
match,16242,1943
l2update,11007,1622
match,16309,4192
l2update,10918,1734
match,16188,2059
l2update,10485,1669
match,16008,1949
l2update,11054,1627
match,16003,1831
l2update,11218,3924
match,15776,1989
