processing,buffer_read
45,328
46,303
45,288
45,431
45,4568
45,356
216,914936
202,4283197
45,839
204,5222324
218,4122005
197,1016112
42,4167
231,55367343
46,761
45,296
45,303
48,313
45,293
44,299
47,291
45,303
45,291
45,293
45,298
45,2681
44,449
45,283
43,295
42,301
44,279
45,273
45,275
46,383
202,563306
198,2131968
230,1156333
45,714
45,451
218,3120248
218,5521693
44,855
208,3147994
195,5541518
45,1343
203,9598672
205,1080489
206,4216946
231,2138500
225,2133273
215,8705454
47,700
46,340
45,433
208,2063614
45,654
48,521
205,1640174
203,12203276
45,855
205,9663095
214,9496908
203,9647800
46,729
45,288
45,474
228,21186984
45,815
198,6371235
203,3202069
212,3217187
45,855
196,1072130
195,5262841
203,1377808
198,2612143
198,2956499
45,4192
208,2160556
218,9789275
197,5278411
217,22454137
202,8591180
218,14587555
205,5524915
45,4157
211,5081311
228,1070239
206,2508199
221,3115218
195,6587544
195,9619650
205,10518480
213,1301970
216,12694895
215,3352151
215,5193753
198,2399916
221,1045640
203,7453235
204,5756902
46,721
45,323
46,415
198,1059677
45,642
45,431
203,2124055
220,15826826
42,719
45,406
45,393
157,11874762
55,4229
213,9699878
221,2046450
198,6431024
198,7364359
45,835
203,7483708
45,659
44,1008
203,2655065
45,1313
203,1331556
203,1925423
231,3469930
56,1097
206,2187715
45,714
45,469
251,2081804
163,4262652
45,892
147,3483336
43,571
45,413
82,3189861
103,3639738
42,474
45,3814
203,1399830
203,703052
216,2122917
45,862
83,5616567
46,531
45,361
203,1354939
218,5514667
46,726
45,454
208,6981941
45,669
45,456
234,10159038
57,1208
76,654
80,574
73,601
73,584
66,764
226,1467700
245,604350
241,3261048
110,6187244
98,1089682
34,513
105,3159239
88,3355579
69,1086198
102,2311386
82,13780219
190,62746839
37,815
38,268
38,250
38,236
38,238
38,239
38,251
37,252
37,239
35,232
38,260
38,2414
36,384
38,238
38,237
38,238
38,240
38,236
36,319
167,2807827
207,10636529
42,880
90,3216283
215,5494870
96,9574416
154,8558108
42,1050425
152,1119839
179,1296487
123,1968772
109,6734617
27,788
32,338
93,3187001
195,4235578
91,4734629
111,13795873
100,2878229
125,5373286
57,24533
115,1269408
136,1895401
132,5967294
143,8533538
199,13245703
224,7420811
141,4673190
72,3170915
111,8633461
208,3818470
204,2194391
210,4279067
200,1888518
46,689
45,471
203,3386576
201,5276336
46,4172
45,3055
210,5440091
198,4239939
212,1060179
195,8636593
204,43664679
203,8855685
203,11016654
45,772
45,426
240,758304
216,5674554
45,4117
201,1922919
210,22128845
202,12718266
44,850
241,3147314
46,829
203,6590656
203,3044578
205,10989044
44,775
45,488
208,1064726
208,9504654
47,925
206,1037970
196,3788067
198,490842
48,854
215,5632534
206,749433
218,1112150
208,1276590
48,4374
213,804085
218,30916868
46,711
45,328
45,311
45,293
45,288
45,429
206,5210906
45,950
203,4261109
205,4311399
198,9458538
198,3635141
238,2130499
45,932
206,2468349
223,3420826
46,784
196,789790
220,3133299
198,2181772
205,1082331
223,1089106
198,1116088
208,1125087
203,1072453
198,5287070
45,742
45,468
208,1085739
203,5229401
200,5263224
203,4179097
208,1126545
45,4300
204,5429470
198,3160497
47,1268
42,469
205,6861452
45,4227
220,3159343
203,2202466
198,8598635
199,1110859
195,5597534
45,797
215,7299952
201,2150755
203,2177933
206,2186487
208,8614022
46,4254
215,4524216
203,13241643
229,6447052
208,3488959
218,21093920
45,677
45,311
45,304
45,293
45,421
201,3565786
228,4292264
226,3545515
205,14890241
198,11676143
203,1045282
130,19234916
24,626
169,4467995
205,35501555
46,886
218,4699150
45,927
204,2833693
45,825
195,24960260
208,3241470
215,17289196
208,1959644
215,2460698
223,3450605
216,18251479
214,26615197
45,897
208,9860039
199,5529204
45,870
203,3327295
45,839
208,6252448
198,14975198
198,4396076
207,976124
198,2198419
45,1361
45,499
202,16564436
45,812
215,21237656
215,14004711
206,912661
198,8553235
202,9391384
211,12899374
202,15350293
216,6526990
206,2109066
225,8394255
46,828
223,4234135
202,6694916
46,796
204,3269036
210,19501063
203,9612007
198,19224824
46,846
208,12093031
201,7418852
214,5265098
202,7826510
199,1077579
221,1098036
196,5176138
198,2642427
46,819
203,6430862
200,11687108
45,827
217,4270072
198,13851067
203,6555539
203,6266113
227,2727997
210,21807879
213,9631311
46,796
208,36329434
198,10353170
215,15646921
220,48829491
208,11732206
205,19265599
211,6563179
203,1969682
218,8532942
198,5367358
218,5296645
221,11684361
217,3258596
203,67256590
228,1045485
221,39844111
196,40629338
218,5359213
198,1095167
221,27761990
220,1046656
48,944
215,9755263
45,892
198,13105314
198,4718298
219,11520672
46,794
210,75065703
45,749
45,330
48,551
45,288
45,301
45,281
46,295
45,278
43,436
206,38945630
221,8549221
228,3442946
225,7201601
209,25558707
198,4673358
45,857
220,1042502
221,7593691
198,5246935
206,6255401
233,10992134
47,1316
43,451
46,458
43,316
45,303
43,401
198,8827522
45,669
46,461
198,6193194
206,1045841
198,9577926
45,810
198,4246003
210,7744883
198,1321003
203,39474492
216,2455110
208,19224701
45,875
203,6453660
208,3197420
203,8800829
280,2176663
203,2141235
198,17385768
204,27656953
220,68253274
203,6595266
45,847
220,11778931
203,6433464
206,3230587
186,161337585
40,814
43,298
40,254
40,255
40,247
40,261
40,260
42,252
38,261
40,253
40,411
203,15271721
42,668
42,406
191,5333562
42,797
258,6425235
78,1222
203,5292025
203,13984201
45,704
46,475
203,3259868
45,829
208,3195175
205,1051306
202,2206338
196,2150404
213,6418628
218,6656992
209,2707407
204,2083195
205,4330239
203,6355905
205,1332065
203,8477461
208,3264739
221,96415541
45,661
45,491
203,20940317
203,43226982
216,8503861
199,7317872
45,819
205,4211933
203,5490239
46,964
203,3112421
198,14060022
46,862
223,16387198
46,906
205,3063467
45,869
198,8613272
45,644
45,486
208,8794243
46,4309
200,5341538
205,8636765
45,702
46,453
198,3215180
45,694
45,296
46,465
196,3145275
45,807
88,4417831
20,1884
88,1048281
169,10619442
42,749
40,477
181,3440310
40,649
40,312
40,401
203,6258251
202,1354751
221,1305047
44,953
265,3243238
187,2187678
45,807
198,6401570
44,747
45,443
170,12193668
45,647
45,511
205,4796659
45,664
46,383
45,426
212,2321835
202,14253495
46,706
46,331
45,351
45,281
45,284
47,434
203,9491684
45,672
45,461
198,2117731
204,3202358
203,3196122
46,854
211,4289149
212,11004266
45,705
45,333
44,512
191,2407722
198,2403374
228,2377308
45,691
45,303
46,303
45,409
218,8279414
47,634
45,288
46,425
208,4285733
45,802
223,5444787
45,649
45,406
43,4335
221,4171121
204,5382708
45,857
195,2118661
220,11747556
203,11761159
223,11973687
204,385650
218,7736309
45,1276
45,353
45,419
46,438
45,4312
198,12855645
45,965
202,1113273
46,716
45,305
47,276
45,271
46,451
203,7395393
45,707
45,471
221,3152464
198,12920773
45,700
45,288
44,309
46,298
46,300
45,283
43,280
42,427
215,8484029
44,885
211,8758152
45,900
210,8676318
46,736
46,456
203,6567502
45,894
206,4799276
46,711
46,331
45,466
198,6874846
205,27660978
45,734
45,288
45,286
48,313
45,301
48,278
46,305
45,406
221,3038197
45,872
216,6359789
235,9366520
55,1050
86,465
62,692
215,5750172
203,4719716
45,734
45,511
203,4167165
45,915
220,12927036
220,932379
231,6529966
203,3164394
45,935
211,5537210
60,1000
67,439
78,697
198,5172054
208,5279852
198,6303835
203,3183103
203,4398065
205,11668608
204,4308430
208,24561068
213,10644097
208,1056786
218,7548289
203,6367193
45,817
203,8501160
46,859
206,6473244
203,9243430
205,11461828
198,5463669
44,808
213,4128220
233,11751006
195,21231628
45,814
195,24371859
45,689
45,313
46,295
46,400
209,30955499
45,754
45,304
45,441
198,9602799
46,876
202,19387394
46,688
45,351
47,306
45,296
48,426
218,4091716
46,563
45,434
203,9569166
46,731
45,524
229,9151586
46,624
45,429
210,12539834
195,13973963
45,654
45,458
220,45628704
46,726
45,489
213,11090981
201,1164811
198,61113331
46,709
45,311
45,328
44,276
43,305
45,446
210,4209309
206,16057797
45,879
206,6577945
206,45352253
227,45051290
47,775
45,353
45,474
195,6806531
199,16078105
45,694
45,353
45,413
198,3242547
206,68276483
45,702
46,308
45,329
44,291
45,290
42,299
47,416
201,44096410
55,729
44,970
45,321
45,288
45,288
48,275
45,301
43,286
42,406
196,4449954
45,669
45,481
231,10280058
46,1132
228,13698744
45,912
198,9276746
45,849
45,291
45,424
204,30011053
38,756
40,252
41,248
40,251
40,281
38,249
38,244
38,274
38,257
37,266
37,254
40,3091
38,353
38,337
148,8952715
27,515
33,342
176,7136819
40,612
40,289
40,437
197,10680428
147,7518620
27,463
30,313
203,4348417
238,10927112
205,18154837
193,8594410
198,12276755
204,18182636
215,18891327
57,1095
205,16178114
46,684
46,341
44,276
45,280
46,305
45,291
46,438
198,7690666
45,847
199,4209222
45,895
198,13782166
45,865
198,18615155
45,712
44,299
46,288
45,283
45,294
45,286
45,301
45,441
209,3772676
46,724
46,483
198,5426241
48,639
45,521
197,9644398
218,13256987
45,754
46,333
46,473
202,29706013
45,662
46,287
45,313
46,448
198,8461749
203,18179960
45,880
196,25642080
45,716
44,547
198,18400672
45,850
210,25497522
45,919
202,47167957
45,857
205,9812428
195,9896594
46,786
199,11924313
46,859
219,34140835
203,26806646
203,10878753
211,8639015
46,896
190,2117841
44,832
218,12759179
215,9491469
48,869
45,489
208,12040172
203,4724605
45,694
46,347
46,415
203,19196932
198,5792233
253,4281394
78,1252
236,13922968
204,5272015
46,701
47,369
45,416
205,7409497
203,14755029
203,15051815
45,694
45,338
45,283
47,479
221,32806094
45,657
46,453
203,16368630
51,5560
45,481
237,8338540
53,1774
249,2409902
45,1190
43,461
208,2280886
196,13747030
48,886
44,507
195,65446968
45,795
203,6306292
46,874
217,20352961
48,724
45,353
45,428
198,29501933
44,882
283,18344922
73,1215
77,762
203,2057222
45,857
154,15118440
29,931
168,12984254
191,14251889
200,8391702
45,832
202,33735768
48,872
208,19650913
47,622
44,424
208,12965832
47,675
46,443
202,15876555
45,695
45,371
44,444
198,7286570
203,33498162
45,834
215,12016260
211,13881598
228,11798946
200,12883882
46,832
198,13884171
45,930
218,7469544
44,828
220,24450155
45,706
44,517
197,12755307
203,27569698
203,22442840
215,12673530
215,2184726
196,16096539
45,715
45,461
198,8410350
199,9608246
206,40526529
211,11778680
213,11709430
220,20308743
198,3115002
206,13074031
203,1099940
209,6537047
201,7997092
196,2723100
45,870
228,5432572
100,40474352
22,489
162,12731663
191,12732743
199,8490457
45,744
48,451
222,7552764
207,7462388
208,36818919
44,687
47,466
203,16759795
45,860
243,25906961
198,4224725
220,3376712
197,14698121
44,777
44,364
45,446
238,13844073
108,1496
195,18021624
216,38369736
203,3667180
44,832
248,16232107
216,3612116
196,11712905
206,4233592
213,4147099
205,3237874
202,17300710
199,25066279
45,849
276,4450291
216,6243164
203,13816591
45,639
45,441
198,9924373
45,842
218,59530436
45,877
208,14957775
205,15014377
45,4141
204,9636071
46,784
233,5387373
178,19323865
221,55181427
198,3639743
198,6438874
203,28946145
45,882
198,25851905
198,7407281
45,804
208,5391453
198,10831306
203,2138682
195,5585908
210,17138376
203,5482062
178,3190792
221,6473638
205,3252752
220,3184401
217,1162333
203,13875045
204,10733325
221,6597762
228,7393475
210,6470814
203,4521039
203,6679976
260,2158736
204,9648998
198,25660145
204,13038573
208,8417547
45,807
220,3359345
206,8668444
45,719
45,411
205,6295001
198,9648276
44,745
45,503
218,1086765
217,5377972
208,4298363
203,7536281
45,679
46,466
202,9600803
208,17117735
203,10763400
203,2179093
200,8552048
203,7559662
45,892
221,2171820
198,2178275
208,7522215
44,870
211,7315166
208,1078417
45,837
208,14063400
45,830
216,4234013
206,5260322
218,2575401
203,9428380
203,11554863
198,5563510
45,1298
45,391
44,557
205,6188085
198,5429751
48,4035
42,2992
198,2064731
218,7654735
47,899
213,4217115
203,7417930
218,8470013
203,2108615
44,800
218,4643106
46,774
45,356
45,436
47,4260
221,1231975
195,15109008
206,7825467
45,872
200,10407645
195,5523151
46,832
198,15858567
238,8364982
205,20008766
216,10756490
198,22758359
223,1362826
243,30877930
207,5702603
202,25426550
198,5770406
221,5721194
205,5305279
228,4541763
45,824
198,1028018
45,837
198,2177849
45,4260
200,8948377
203,21926584
204,11822298
205,5340485
205,27751597
228,23519118
231,2572662
198,1073415
216,9162837
203,2041800
196,13040605
223,1046239
213,2413398
231,10162476
197,7469487
212,1074438
205,3196311
208,7607220
191,977169
206,1023681
202,8621667
201,11688089
205,3205950
203,6745412
46,4064
198,5823986
203,10658417
195,7491166
198,3246884
198,21353905
203,2137977
211,1351661
200,9492551
209,15043482
45,877
218,1330096
218,8975595
201,11278053
202,11188719
202,10849523
203,25615127
206,2137851
210,7423966
218,7411386
48,676
45,494
228,5264306
70,1138
200,5515660
46,942
266,11588265
205,11114431
45,749
46,295
46,290
48,288
42,399
213,17937755
208,14207987
203,3221452
46,904
208,1100114
205,5658052
209,972944
203,51294991
47,665
47,366
46,293
48,408
198,7713550
210,6483337
218,3041071
198,1076755
216,7428790
223,1484563
206,14630438
46,4299
198,20467646
201,3825921
198,17800492
196,5239124
45,707
45,401
218,8816837
203,17790880
48,882
217,2166669
46,4179
200,5767945
218,5381994
212,4299077
201,6424143
45,797
45,514
218,1050502
203,6395151
205,2143905
218,3209490
202,2249690
208,2040644
208,7442545
48,849
215,5304818
203,2352381
215,8531487
198,5621527
45,677
45,501
203,1012421
209,3188961
207,9380299
215,8856114
45,621
48,463
203,3303108
211,951258
204,8857855
45,827
216,6995871
255,4294083
231,6351470
205,5386096
225,2163489
63,949
72,682
205,6423823
216,2321709
202,5223966
203,1150191
45,4140
243,4572412
202,9644371
202,2262722
208,11719610
208,2175188
198,2248122
197,1090284
209,9831862
45,1416
214,2597966
208,1620078
203,11785098
203,12925245
45,754
45,331
45,300
46,405
208,4337959
45,789
209,4101133
220,1164771
45,4332
198,3079297
45,872
203,8567569
45,802
243,2009076
221,7308987
204,3388563
220,15064951
46,876
205,15737860
44,722
45,326
45,439
208,11715607
45,4119
228,12217207
48,709
46,453
195,2111768
220,4261983
215,4300309
203,6492079
45,784
250,8563467
65,1396
200,10800100
203,11774529
218,4290968
198,3238295
205,18461209
215,2957766
45,859
208,3407836
205,9764115
212,5408479
45,1293
45,351
44,301
45,424
219,5389924
46,4162
231,3189808
203,7707341
45,4134
202,10553239
221,2158176
229,2200451
198,2320073
203,13075715
198,11225260
47,4280
208,1786558
202,6782296
208,13178724
45,752
48,476
208,8490017
223,3216142
218,20456260
218,7410684
231,22792811
208,21578784
198,35169118
202,14142016
213,32977465
203,23453583
208,7477379
215,9817738
67,1153
258,6042595
60,1436
213,24577372
223,12739141
209,1058735
228,14760934
208,13308340
44,835
216,7430515
203,2146937
218,12848135
45,714
46,463
200,17042409
215,29877594
218,8574520
205,11000209
196,9909997
210,3426311
368,5245752
196,3150992
45,885
210,11789153
197,1102401
208,8608546
218,3160497
195,23147272
45,872
218,4335055
201,22178102
82,40560518
178,71265185
179,7278198
180,1111405
194,4502649
215,8817551
193,18991074
203,34774101
203,36709278
198,4069560
45,807
203,7573533
203,7742044
45,692
46,491
198,5060366
46,884
203,1336485
201,12805921
45,702
48,287
48,313
47,290
46,594
203,16332188
45,629
