msg_type,processing_time_ns,buff_read_ns
l2update,13548,2041
match,20585,2567
l2update,14012,2140
match,20286,2429
l2update,14356,2171
match,21128,5293
l2update,13798,2111
match,20103,2550
l2update,14003,2205
match,20136,2543
l2update,13633,2224
match,20991,2546
l2update,14377,4865
match,20319,2457
l2update,14275,2159
match,20080,2504
l2update,14439,2162
match,20259,2468
l2update,13550,2176
match,22002,5568
l2update,13854,2203
match,20882,2564
l2update,13567,2131
match,20481,2558
l2update,14055,2102
match,20397,2526
l2update,14095,2015
match,21225,5357
l2update,13821,2184
match,20972,2600
l2update,13676,2137
match,20190,2583
l2update,13543,2124
match,20584,2553
l2update,13755,2159
match,21868,5498
l2update,13892,2172
match,20616,2560
l2update,13723,2127
match,20028,2532
l2update,14058,2158
match,20363,2499
l2update,13797,2198
match,29260,5489
l2update,10677,1840
match,16146,1993
l2update,10763,1672
match,16045,1959
l2update,10989,1642
match,16272,1991
l2update,11508,3941
match,16349,1987
l2update,10863,1641
match,22926,1994
l2update,15949,4247
match,25789,11609
l2update,11283,1950
match,25615,2097
l2update,11752,4876
match,15938,2059
l2update,10581,1644
match,16116,2039
l2update,10448,1697
match,15504,2024
l2update,10645,1660
match,26106,4359
l2update,11072,1859
match,16358,2082
l2update,10755,1746
match,15971,2019
l2update,11115,1614
match,15853,1986
l2update,10671,1725
match,16504,4497
l2update,11171,1784
match,16396,2024
l2update,10774,1714
match,16323,2062
l2update,10756,1678
match,15785,2024
l2update,10729,1768
match,16413,4356
l2update,10709,1714
match,15937,2013
l2update,10638,1733
match,16351,2014
l2update,10691,1692
match,16128,2068
l2update,11770,3964
match,16478,2019
l2update,10785,1675
match,16466,2020
l2update,10760,1707
match,15733,2008
l2update,10992,1648
match,15729,2032
l2update,11364,4061
match,15907,2087
l2update,11016,1703
match,15888,2018
l2update,11394,1740
match,16496,1976
l2update,10747,1659
match,16492,4319
l2update,10829,1750
match,16323,2020
l2update,10732,1739
match,16170,2011
l2update,11077,1769
match,16151,2053
l2update,10614,1727
match,16271,4253
l2update,10768,1681
match,15774,1983
l2update,11104,1757
match,15657,1961
l2update,10673,1674
match,15665,2009
l2update,10933,1737
match,16098,4215
l2update,10803,1722
match,16274,2041
l2update,11049,1699
match,16192,2055
l2update,10603,1680
match,16105,1974
l2update,11390,1699
match,18125,16107
l2update,10966,2050
match,16413,2065
l2update,10832,1689
match,16064,2056
l2update,11164,1712
match,17652,2751
l2update,11800,4643
match,16342,2118
l2update,10779,1631
match,16359,2004
l2update,10926,1681
match,15720,2039
l2update,11211,1734
