1350347,1361070
113716,7766
80160,6854
63443,20721
36894,2548
67647,2598
120920,6962
89947,5686
36320,2304
111641,2426
78261,5152
93190,13050
36218,2363
55470,2558
35531,2134
102992,2531
77655,6807
108982,5429
35974,2281
124621,5812
111307,6044
108412,8600
57706,3161
98193,4872
36728,2869
58581,2540
36649,5906
58600,2567
35165,2101
59627,2475
35893,2046
58503,2487
35347,2053
56870,2445
36045,4968
57927,2542
34533,2107
56458,2533
35826,2072
58369,2455
34918,2102
59386,5251
34605,2162
58341,2442
35714,2050
58992,2440
35185,2026
69599,2451
37336,3165
67541,6217
36593,2710
56254,2520
35724,2124
59306,2441
35639,2139
58135,2445
35352,2140
59530,5554
35067,2170
58190,2536
35687,2125
58551,2501
35460,2163
56856,2478
34853,2087
58980,5122
35994,2136
59143,2463
35268,2086
56472,2417
35683,2161
56834,2461
35865,4694
58988,2463
35553,2080
56589,2438
35705,2095
59399,2459
34520,2106
60145,5083
35528,2135
57376,2523
35580,2067
58418,2475
34258,2074
58439,2390
34815,2096
59375,5006
35897,2087
55445,2467
35753,2129
55883,2481
35712,2076
56134,2437
35603,2128
56555,4944
34668,2154
57041,2479
34992,2033
58537,2500
35728,2142
57997,2448
35624,2105
59060,4907
35279,2140
56249,2478
35556,2097
56974,2509
35716,2121
58429,2485
36343,4671
58562,2583
35725,2086
55526,2452
34989,2065
57872,2483
35268,2022
57974,2509
35046,4145
58779,2553
35659,2085
58459,2451
45088,2047
56621,2921
34718,2095
56723,5337
34145,2053
56689,2455
34314,2057
57033,2470
34433,2093
55701,2358
34167,2008
55400,5017
34953,2108
55773,2336
34313,2043
57580,2465
34608,2040
56156,2290
33982,2079
57526,4850
34244,2104
54798,2518
34741,2052
53984,2358
34658,2029
54732,2349
35226,4606
56889,2424
34373,2059
56593,2361
34824,2110
54162,2330
34253,2054
56029,2406
34649,4510
57161,2524
34623,2049
53871,2342
34529,2102
56598,2376
33200,2049
57499,4815
34856,2098
56460,2392
33869,2066
54530,2351
34347,2112
55657,2366
34849,2088
58510,4839
34040,2091
56397,2369
34274,2109
56164,2379
34250,2100
57613,2381
34618,2024
54569,4794
34568,2172
57696,2387
34432,2081
56233,2320
34629,2014
56027,2284
35220,4469
56945,2425
34567,2023
56423,2373
34784,2026
54905,2368
34295,2001
64026,2383
36518,4924
68448,2479
62303,4294
90041,4487
51201,3549
80865,3948
51436,3366
86087,8030
51183,3318
81070,3980
50834,3486
81668,3934
50777,2951
90130,3811
65031,3030
83918,7366
50200,3191
82738,3100
52163,2545
80677,3079
52187,3120
81510,3445
50126,3254
82513,7457
50098,3171
99373,3017
51450,3385
89510,4082
51499,2583
80331,3103
50395,3404
82462,7143
51800,2567
82406,2872
51321,2496
82321,3134
50628,2490
81215,3140
52059,6482
81535,3937
51985,3223
92937,3416
60393,2940
90301,3797
59539,3028
87594,7217
59219,2809
89899,2766
46327,11668
88443,2760
51888,2658
82187,3543
57542,3519
79559,16541
52072,3321
81148,3862
51357,3407
82918,3743
51747,2985
81667,3100
50187,2564
81904,7594
51603,3270
84016,4109
50706,2456
82692,3201
50640,2587
82820,3095
50722,2759
93014,6791
50596,3118
91926,4078
56188,2736
90880,3958
50857,3184
80505,3558
52123,6770
82905,2936
50608,3440
81428,3820
50558,3185
80024,3804
50807,3357
79324,3890
52787,6791
81529,3203
50408,2662
83350,3073
50954,3075
81105,3203
50528,2828
81680,6993
51373,2795
81851,3099
50618,2645
80672,2897
50640,2527
82108,3447
50378,2527
81037,7268
51422,3541
80144,3700
50672,3390
122514,3825
49536,2728
78334,3094
49194,2559
79565,7082
49852,3251
79157,3771
49608,3255
79233,3699
50435,3332
78530,3492
49920,6581
79008,2998
50319,2707
80944,3069
49962,3264
79361,3836
49460,2924
78173,3493
50585,6607
80428,3112
49706,3071
78565,3528
48723,3095
79662,2875
49829,2829
84164,31396
51539,3546
79521,3140
50500,2468
79228,2778
50384,2694
82085,14638
49119,3461
78842,3701
49843,3174
78858,3678
49897,3239
78578,3461
